년도,대륙별,국가명,국가부호,,,년도,경제권별,국가명,국가부호
2012,유      럽,체코공화국,CZ,,,2012,C I S,타지크,TJ
2012,유      럽,독일,DE,,,2012,C I S,투르크멘,TM
2012,유      럽,덴마크,DK,,,2012,C I S,우크라이나,UA
2012,유      럽,에스토니아,EE,,,2012,C I S,우즈베크,UZ
2012,유      럽,에리트리아,ER,,,2012,동 구 권,알바니아,AL
2012,유      럽,스페인,ES,,,2012,동 구 권,보스니아-헤르체고비나,BA
2012,유      럽,핀란드,FI,,,2012,동 구 권,불가리아,BG
2012,유      럽,파로에 군도,FO,,,2012,동 구 권,체코공화국,CZ
2012,유      럽,프랑스,FR,,,2012,동 구 권,크로아티아,HR
2012,유      럽,프랑스 메트로폴리탄,FX,,,2012,동 구 권,헝가리,HU
2012,유      럽,영국,GB,,,2012,동 구 권,몬테네그로,ME
2012,유      럽,그루지아,GE,,,2012,동 구 권,마세도니아,MK
2012,유      럽,건지,GG,,,2012,동 구 권,폴란드,PL
2012,유      럽,지브랄타,GI,,,2012,동 구 권,루마니아,RO
2012,유      럽,그리스,GR,,,2012,동 구 권,세르비아,RS
2012,유      럽,남조지아 & 남샌드위치 군도,GS,,,2012,동 구 권,슬로베니아,SI
2012,유      럽,크로아티아,HR,,,2012,동 구 권,슬로바키아,SK
2012,유      럽,헝가리,HU,,,2012,동 구 권,마세도니아,YM
2012,유      럽,아일랜드,IE,,,2012,동 구 권,유고,YU
2012,유      럽,맨섬,IM,,,2012,아 셈,오스트리아,AT
2012,유      럽,아이슬란드,IS,,,2012,아 셈,벨기에,BE
2012,유      럽,이탈리아,IT,,,2012,아 셈,브루나이,BN
2012,유      럽,저어지,JE,,,2012,아 셈,중국,CN
2012,유      럽,리히텐슈타인,LI,,,2012,아 셈,독일,DE
2012,유      럽,리투아니아,LT,,,2012,아 셈,덴마크,DK
2012,유      럽,룩셈부르그,LU,,,2012,아 셈,스페인,ES
2012,유      럽,라트비아,LV,,,2012,아 셈,핀란드,FI
2012,유      럽,모나코,MC,,,2012,아 셈,프랑스,FR
2012,유      럽,몰도바,MD,,,2012,아 셈,영국,GB
2012,유      럽,몬테네그로,ME,,,2012,아 셈,그리스,GR
2012,유      럽,마세도니아,MK,,,2012,아 셈,인도네시아,ID
2012,유      럽,몰타,MT,,,2012,아 셈,아일랜드,IE
2012,유      럽,네덜란드,NL,,,2012,아 셈,이탈리아,IT
2012,유      럽,노르웨이,NO,,,2012,아 셈,일본,JP
2012,유      럽,폴란드,PL,,,2012,아 셈,한국,KR
2012,유      럽,포루투갈,PT,,,2012,아 셈,룩셈부르그,LU
2012,유      럽,루마니아,RO,,,2012,아 셈,말레이지아,MY
2012,유      럽,세르비아,RS,,,2012,아 셈,네덜란드,NL
2012,유      럽,러시아 연방,RU,,,2012,아 셈,필리핀,PH
2012,유      럽,스웨덴,SE,,,2012,아 셈,포루투갈,PT
2012,유      럽,슬로베니아,SI,,,2012,아 셈,스웨덴,SE
2012,유      럽,스발비드 군도,SJ,,,2012,아 셈,싱가포르,SG
2012,유      럽,슬로바키아,SK,,,2012,아 셈,태국,TH
2012,유      럽,산마리노,SM,,,2012,아 셈,베트남,VN
2012,유      럽,터키,TR,,,2012,EFTA,스위스,CH
2012,유      럽,우크라이나,UA,,,2012,EFTA,아이슬란드,IS
2012,유      럽,교황청,VA,,,2012,EFTA,리히텐슈타인,LI
2012,유      럽,유고,YU,,,2012,EFTA,노르웨이,NO
2012,북      미,캐나다,CA,,,2012,MERCOSUR,아르헨티나,AR
2012,북      미,미국,US,,,2012,MERCOSUR,브라질,BR
2012,중  남  미,안티가 바부다,AG,,,2012,MERCOSUR,파라과이,PY
2012,중  남  미,네덜란드 열도,AN,,,2012,MERCOSUR,우루과이,UY
2012,중  남  미,안타티카,AQ,,,2012,A S E A N,브루나이,BN
2012,중  남  미,아르헨티나,AR,,,2012,A S E A N,인도네시아,ID
2012,중  남  미,아루바,AW,,,2012,A S E A N,캄보디아,KH
2012,중  남  미,바베이도스,BB,,,2012,A S E A N,라오스,LA
2012,중  남  미,세인트 바르탤르미,BL,,,2012,A S E A N,미얀마,MM
2012,중  남  미,버뮤다,BM,,,2012,A S E A N,말레이지아,MY
2012,중  남  미,볼리비아,BO,,,2012,A S E A N,필리핀,PH
2012,중  남  미,영령 안탁,BQ,,,2012,A S E A N,싱가포르,SG
2012,중  남  미,브라질,BR,,,2012,A S E A N,태국,TH
2012,중  남  미,바하마,BS,,,2012,A S E A N,베트남,VN
2012,중  남  미,벨리제,BZ,,,2012,N A F T A,캐나다,CA
2012,중  남  미,칠레,CL,,,2012,N A F T A,멕시코,MX
2012,중  남  미,콜롬비아,CO,,,2012,N A F T A,미국,US
2012,중  남  미,코스타리카,CR,,,2012,A P E C,호주,AU
2012,중  남  미,쿠바,CU,,,2012,A P E C,브루나이,BN
2012,중  남  미,도미니카,DM,,,2012,A P E C,캐나다,CA
2012,중  남  미,도미니카 공화국,DO,,,2012,A P E C,칠레,CL
2012,중  남  미,에쿠아도르,EC,,,2012,A P E C,중국,CN
2012,중  남  미,포클랜드 군도,FK,,,2012,A P E C,홍콩,HK
2012,중  남  미,그레나다,GD,,,2012,A P E C,인도네시아,ID
2012,중  남  미,불령 가이아나,GF,,,2012,A P E C,일본,JP
2012,중  남  미,그린랜드,GL,,,2012,A P E C,한국,KR
2012,중  남  미,과델로프,GP,,,2012,A P E C,멕시코,MX
2012,중  남  미,과테말라,GT,,,2012,A P E C,말레이지아,MY
2012,중  남  미,가이아나,GY,,,2012,A P E C,뉴질랜드,NZ
2012,중  남  미,온두라스,HN,,,2012,A P E C,페루,PE
2012,중  남  미,아이티,HT,,,2012,A P E C,파푸아 뉴기니,PG
2012,중  남  미,자마이카,JM,,,2012,A P E C,필리핀,PH
2012,중  남  미,세인트 키츠 네비스,KN,,,2012,A P E C,러시아 연방,RU
2012,중  남  미,영령 캐이맨 군도,KY,,,2012,A P E C,싱가포르,SG
2012,중  남  미,세인트 루시아,LC,,,2012,A P E C,태국,TH
2012,중  남  미,세인트 마틴,MF,,,2012,A P E C,대만,TW
2012,중  남  미,미드웨이 군도,MI,,,2012,A P E C,미국,US
2012,중  남  미,마티니크,MQ,,,2012,A P E C,베트남,VN
2012,중  남  미,몬트세라트,MS,,,2012,동 남 아,브루나이,BN
2012,중  남  미,멕시코,MX,,,2012,동 남 아,홍콩,HK
2012,중  남  미,니카라과,NI,,,2012,동 남 아,인도네시아,ID
2012,중  남  미,파나마,PA,,,2012,동 남 아,캄보디아,KH
2012,중  남  미,페루,PE,,,2012,동 남 아,라오스,LA
2012,중  남  미,세인트 피레 미켈론,PM,,,2012,동 남 아,미얀마,MM
2012,중  남  미,푸에르토리코,PR,,,2012,동 남 아,말레이지아,MY
2012,중  남  미,파라과이,PY,,,2012,동 남 아,필리핀,PH
2012,중  남  미,파나마운하지역,PZ,,,2012,동 남 아,싱가포르,SG
2012,중  남  미,수리남,SR,,,2012,동 남 아,태국,TH
2012,중  남  미,엘살바도르,SV,,,2012,동 남 아,대만,TW
2012,중  남  미,투르크 & 카이코스 군도,TC,,,2012,동 남 아,베트남,VN
2012,중  남  미,트리니다드 토바고,TT,,,,,,
2012,중  남  미,우루과이,UY,,,,,,
2012,중  남  미,세인트 빈센트 그레나딘,VC,,,,,,
2012,중  남  미,베네주엘라,VE,,,,,,
2012,중  남  미,영령 버진군도,VG,,,,,,
2012,중  남  미,미령 버진군도,VI,,,,,,
2012,아프리카,앙귈라,AI,,,,,,
2012,아프리카,앙골라,AO,,,,,,
2012,아프리카,부르키나 파소,BF,,,,,,
2012,아프리카,부룬디,BI,,,,,,
2012,아프리카,베닝,BJ,,,,,,
2012,아프리카,보빗군도,BV,,,,,,
2012,아프리카,보츠와나,BW,,,,,,
2012,아프리카,콩고민주공화국,CD,,,,,,
2012,아프리카,중앙아프리카공화국,CF,,,,,,
2012,아프리카,콩고,CG,,,,,,
2012,아프리카,코트디봐르,CI,,,,,,
2012,아프리카,카메룬,CM,,,,,,
2012,아프리카,카보 베르데,CV,,,,,,
2012,아프리카,지부티,DJ,,,,,,
2012,아프리카,서사하라,EH,,,,,,
2012,아프리카,이디오피아,ET,,,,,,
2012,아프리카,가봉,GA,,,,,,
2012,아프리카,가나,GH,,,,,,
2012,아프리카,감비아,GM,,,,,,
2012,아프리카,기니,GN,,,,,,
2012,아프리카,적도 기니,GQ,,,,,,
2012,아프리카,기네비소,GW,,,,,,
2012,아프리카,영령 인도양,IO,,,,,,
2012,아프리카,케냐,KE,,,,,,
2012,아프리카,코모로스,KM,,,,,,
2012,아프리카,라이베리아,LR,,,,,,
2012,아프리카,레소토,LS,,,,,,
2012,아프리카,마다카스카르,MG,,,,,,
2012,아프리카,말리,ML,,,,,,
2012,아프리카,모리셔스,MU,,,,,,
2012,아프리카,말라위,MW,,,,,,
2012,아프리카,모잠비크,MZ,,,,,,
2012,아프리카,나미비아,NA,,,,,,
2012,아프리카,니제르,NE,,,,,,
2012,아프리카,나이지리아,NG,,,,,,
2012,아프리카,팔레스타인 해방기구,PS,,,,,,
2012,아프리카,"불령 리유니온,코모도 제도",RE,,,,,,
2012,아프리카,루안다,RW,,,,,,
2012,아프리카,세이쉘,SC,,,,,,
2012,아프리카,세인트 헬레나,SH,,,,,,
2012,아프리카,시에라 리온,SL,,,,,,
2012,아프리카,세네갈,SN,,,,,,
2012,아프리카,소말리아,SO,,,,,,
2012,아프리카,남수단,SS,,,,,,
2012,아프리카,상토메 프린스페,ST,,,,,,
2012,아프리카,스와질랜드,SZ,,,,,,
2012,아프리카,챠드,TD,,,,,,
2012,아프리카,불령 남부지역,TF,,,,,,
2012,아프리카,토고,TG,,,,,,
2012,아프리카,탄자니아,TZ,,,,,,
2012,아프리카,우간다,UG,,,,,,
2012,아프리카,메요트,YT,,,,,,
2012,아프리카,남아프리카공화국,ZA,,,,,,
2012,아프리카,잠비아,ZM,,,,,,
2012,아프리카,자이르,ZR,,,,,,
2012,아프리카,짐바브웨,ZW,,,,,,
2012,오세아니아,호주,AU,,,,,,
2012,오세아니아,쿡 아일랜드,CK,,,,,,
2012,오세아니아,피지,FJ,,,,,,
2012,오세아니아,괌,GU,,,,,,
2012,오세아니아,뉴 칼레도니아,NC,,,,,,
2012,오세아니아,나우르,NR,,,,,,
2012,오세아니아,니우에,NU,,,,,,
2012,오세아니아,뉴질랜드,NZ,,,,,,
2012,오세아니아,불령 폴리네시아,PF,,,,,,
2012,오세아니아,파푸아 뉴기니,PG,,,,,,
2012,오세아니아,솔로몬 군도,SB,,,,,,
2012,오세아니아,토켈라우,TK,,,,,,
2012,오세아니아,통가,TO,,,,,,
2012,오세아니아,사모아,WS,,,,,,
2012,대  양  주,아메리칸 사모아,AS,,,,,,
2012,대  양  주,코스 군도               ,CC,,,,,,
2012,대  양  주,캔톤아일랜드,CT,,,,,,
2012,대  양  주,크리스마스 아일랜드,CX,,,,,,
2012,대  양  주,마이크로네시아,FM,,,,,,
2012,대  양  주,허드 앤 맥도날드 군도,HM,,,,,,
2012,대  양  주,존스톤 아일랜드,JT,,,,,,
2012,대  양  주,키리바티,KI,,,,,,
2012,대  양  주,마샬군도,MH,,,,,,
2012,대  양  주,북마리아나 군도,MP,,,,,,
2012,대  양  주,노폴크 아일랜드,NF,,,,,,
2012,대  양  주,피트카이른,PN,,,,,,
2012,대  양  주,팔라우,PW,,,,,,
2012,대  양  주,투발루,TV,,,,,,
2012,대  양  주,마이너 아우틀링 합중국 군도,UM,,,,,,
2012,대  양  주,바누아투,VU,,,,,,
2012,대  양  주,왈라스 & 퓨투나 군도,WF,,,,,,
2012,대  양  주,웨이크 아일랜드,WK,,,,,,
